event,event_description,property,type,required,example,property_description
app_open,App brought to foreground / opened,source,string,no,cold_start,
app_open,App brought to foreground / opened,os_version,string,no,iOS 18.0,
app_open,App brought to foreground / opened,app_version,string,no,1.0.0,
onboarding_started,User started onboarding flow,screen,string,no,welcome,
onboarding_completed,User finished onboarding flow,seconds,number,no,52,Time to complete onboarding
profile_saved,User saved Settings profile,gender,string,no,female,
profile_saved,User saved Settings profile,age,number,no,42,
profile_saved,User saved Settings profile,height_cm,number,no,155,
profile_saved,User saved Settings profile,weight_kg,number,no,47.6,
profile_saved,User saved Settings profile,run_with_bottle,boolean,no,False,
preferences_saved,Food preferences saved,love_count,number,no,12,How many items set to Love
preferences_saved,Food preferences saved,avoid_count,number,no,3,How many items set to Avoid
plan_flow_started,User begins creating a plan,screen,string,no,plan_screen,App screen where event occurred
plan_flow_started,User begins creating a plan,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_flow_started,User begins creating a plan,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_flow_started,User begins creating a plan,activity_type,string,no,run,"Type of activity being planned (run, ride, swim)"
plan_flow_started,User begins creating a plan,distance_mi,number,no,12.0,Planned distance (miles)
plan_flow_started,User begins creating a plan,duration_min,number,no,108,Planned duration (minutes)
plan_flow_started,User begins creating a plan,pace_sec_per_mile,number,no,540,Planned pace (sec/mi)
plan_flow_started,User begins creating a plan,time_before_run_min,number,no,120,Time between meal and start
plan_flow_started,User begins creating a plan,gut_training_level,string,no,high,low | medium | high
plan_flow_started,User begins creating a plan,sweat_rate_level,string,no,medium,light | medium | heavy (or numeric if available)
plan_flow_started,User begins creating a plan,temperature_c,number,no,20,Ambient temperature °C
plan_flow_started,User begins creating a plan,humidity_pct,number,no,60,Ambient humidity %
plan_flow_started,User begins creating a plan,run_with_bottle,boolean,no,True,User preference to carry bottle
targets_viewed,User viewed 'Your nutrition targets' card,screen,string,no,plan_screen,App screen where event occurred
targets_viewed,User viewed 'Your nutrition targets' card,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
targets_viewed,User viewed 'Your nutrition targets' card,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
targets_viewed,User viewed 'Your nutrition targets' card,carbs_pre_g,number,no,95,Target carbohydrates before run (g)
targets_viewed,User viewed 'Your nutrition targets' card,carbs_during_g,number,no,63,Target carbohydrates during run (g)
targets_viewed,User viewed 'Your nutrition targets' card,carbs_post_g,number,no,48,Target carbohydrates post run (g)
targets_viewed,User viewed 'Your nutrition targets' card,protein_pre_g,number,no,12,Target protein before run (g)
targets_viewed,User viewed 'Your nutrition targets' card,protein_post_g,number,no,14,Target protein post run (g)
targets_viewed,User viewed 'Your nutrition targets' card,fluids_pre_ml,number,no,441,Target fluids pre-run (ml)
targets_viewed,User viewed 'Your nutrition targets' card,fluids_during_ml,number,no,1080,Target fluids during (ml)
targets_viewed,User viewed 'Your nutrition targets' card,fluids_post_ml,number,no,1250,Target fluids post (ml)
targets_viewed,User viewed 'Your nutrition targets' card,sodium_pre_mg,number,no,450,Target sodium pre-run (mg)
targets_viewed,User viewed 'Your nutrition targets' card,sodium_during_mg,number,no,1170,Target sodium during (mg)
targets_viewed,User viewed 'Your nutrition targets' card,sodium_post_mg,number,no,625,Target sodium post (mg)
edit_all_macros_opened,User opened 'Edit All Macro Values' modal,screen,string,no,plan_screen,App screen where event occurred
edit_all_macros_opened,User opened 'Edit All Macro Values' modal,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
edit_all_macros_opened,User opened 'Edit All Macro Values' modal,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
macros_changed,A macro target was edited,screen,string,no,plan_screen,App screen where event occurred
macros_changed,A macro target was edited,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
macros_changed,A macro target was edited,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
macros_changed,A macro target was edited,macro,string,no,fluids_during_ml,Which field changed
macros_changed,A macro target was edited,old_value,number,no,1080,
macros_changed,A macro target was edited,new_value,number,no,1200,
create_plan_clicked,CTA pressed to generate plan,screen,string,no,plan_screen,App screen where event occurred
create_plan_clicked,CTA pressed to generate plan,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
create_plan_clicked,CTA pressed to generate plan,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
create_plan_clicked,CTA pressed to generate plan,activity_type,string,no,run,"Type of activity being planned (run, ride, swim)"
create_plan_clicked,CTA pressed to generate plan,distance_mi,number,no,12.0,Planned distance (miles)
create_plan_clicked,CTA pressed to generate plan,duration_min,number,no,108,Planned duration (minutes)
create_plan_clicked,CTA pressed to generate plan,pace_sec_per_mile,number,no,540,Planned pace (sec/mi)
create_plan_clicked,CTA pressed to generate plan,time_before_run_min,number,no,120,Time between meal and start
